Gene name,Mutated samples,Samples tested
HDAC9_ENST00000432645,63,809
KCNMA1_ENST00000640182,63,809
TCF4,63,809
TCF7L2_ENST00000355995,63,1081
CTNND2_ENST00000511377,63,809
TENM2_ENST00000519204,63,807
ITPR1_ENST00000443694,63,809
KCNMA1_ENST00000638606,63,809
TCF7L2_ENST00000542695,63,1081
KCNMA1_ENST00000638991,63,809
KCNMA1_ENST00000638306,63,809
TENM2,63,807
CTNNB1_ENST00000646381,63,2477
DLG2_ENST00000330014,63,809
KCNMA1_ENST00000286627,63,809
ARHGEF28_ENST00000513042,63,809
KCNMA1_ENST00000639601,63,809
MYO9A_ENST00000444904,63,809
PARD3B_ENST00000614500,63,809
KHDRBS2,63,809
MYO10_ENST00000274203,63,807
AKAP13_ENST00000394518,63,834
KCNMA1_ENST00000639486,63,809
HECTD4_ENST00000550722,63,807
SORCS2,63,809
KCNMA1_ENST00000372443,63,809
CTNNB1_ENST00000405570,63,2477
DYNC2H1,63,809
KCNMA1_ENST00000457953,63,809
TRPM3_ENST00000357533,63,809
KCNMA1_ENST00000640523,63,809
CTNND2_ENST00000503622,63,809
NEDD4L_ENST00000382850,63,809
TCF7L2_ENST00000536810,63,1081
NALCN,63,834
DNAH10_ENST00000409039,63,809
NEDD4L,63,809
KCNMA1_ENST00000639591,63,809
ITPR2,63,809
GABRB3_ENST00000541819,63,809
SPAG16,63,809
GRIA4_ENST00000428631,63,809
KCNMA1_ENST00000639489,63,809
FMN1,63,809
CACNA1C_ENST00000480911,63,809
HECTD4,63,807
KCNMA1_ENST00000639913,63,809
GLI3_ENST00000479210,63,809
NEDD4L_ENST00000356462,63,809
CACNA1D_ENST00000637424,63,817
TSHZ2,63,809
FAM19A5,63,809
KCNMA1_ENST00000638351,63,809
TCF7L2_ENST00000543371,63,1081
CTNNB1_ENST00000643541,63,2477
PDE11A,63,809
DYNC2H1_ENST00000334267,63,809
TCF7L2_ENST00000538897,63,1081
CTNNB1_ENST00000645210,63,2477
NEDD4L_ENST00000456986,63,809
KCNMA1_ENST00000372440,63,809
ANK2_ENST00000264366,63,809
PARD3B_ENST00000613457,63,809
ARHGEF28,63,809
DCLK1,63,809
DNAH10,63,809
GRIA4_ENST00000393125,63,809
PARD3B_ENST00000622699,63,809
KCNMA1_ENST00000640141,63,809
FBXW7_ENST00000393956,63,1759
KCNMA1_ENST00000404771,63,809
STAB2,63,809
FBXW7_ENST00000263981,63,1759
CTNNB1_ENST00000642248,63,2477
TTC28,62,807
LTBP1_ENST00000404525,62,809
LTBP1_ENST00000402934,62,809
EBF1,62,809
NPAS3_ENST00000551492,62,809
ADAMTSL1,62,809
KCNMA1_ENST00000626620,62,809
GRID2_ENST00000611049,62,809
GRM7_ENST00000389336,62,809
AKAP13,62,834
DCDC1_ENST00000597505,62,809
TPO_ENST00000329066,62,809
SNTG1_ENST00000522124,62,810
SNTG1_ENST00000644093,62,810
MCTP1_ENST00000312216,62,809
KCNMA1_ENST00000434208,62,809
SNTG1_ENST00000518864,62,810
TPO,62,809
NLGN1_ENST00000361589,62,809
RIMS2_ENST00000436393,62,809
KCNMA1_ENST00000639544,62,809
DCLK1_ENST00000255448,62,809
EPHB1,62,1056
SEMA5A,62,810
CHD9_ENST00000615216,62,809
KCNMA1_ENST00000638223,62,809
CTNNA3,62,809
NPAS3_ENST00000346562,62,809
